Course_No,Course_Name,Section_No,Lec/Lab,Undergrad/Grad,Semester,Year,Days,Start_Time,Start_Am/Pm,End_Time,End_Am/Pm,Building,Room_No,Name
CSE 1104,INTRODUCTION TO ENGINEERING,1,LEC,Undergraduate,Spring,2015,Mo,4:00,PM,4:50,PM,NH,100,Linda S Barasch
CSE 1104,INTRODUCTION TO ENGINEERING,2,LEC,Undergraduate,Spring,2015,Tu,9:30,AM,10:20,AM,NH,100,Linda S Barasch
CSE 1104,INTRODUCTION TO ENGINEERING,3,LEC,Undergraduate,Spring,2015,Tu,4:00,PM,4:50,PM,NH,100,Linda S Barasch
CSE 1105,INTRODUCTION TO COMPUTER SCIENCE AND ENGINEERING,1,LEC,Undergraduate,Spring,2015,Mo,3:00,PM,3:50,PM,NH,105,Eric W Becker
CSE 1105,INTRODUCTION TO COMPUTER SCIENCE AND ENGINEERING,2,LEC,Undergraduate,Spring,2015,Tu,11:00,AM,11:50,AM,NH,106,Eric W Becker
CSE 1105,INTRODUCTION TO COMPUTER SCIENCE AND ENGINEERING,3,LEC,Undergraduate,Spring,2015,Th,4:00,PM,4:50,PM,CRB,114,Eric W Becker
CSE 1301,COMPUTER LITERACY,1,LEC,Undergraduate,Spring,2015,MoWeFr,1:00,PM,1:50,PM,NH,108,Feraydune Kashefi
CSE 1301,COMPUTER LITERACY,3,LAB,Undergraduate,Spring,2015,We,2:00,PM,4:50,PM,ERB,132,Feraydune Kashefi
CSE 1301,COMPUTER LITERACY,4,LAB,Undergraduate,Spring,2015,We,7:00,PM,9:50,PM,ERB,132,Feraydune Kashefi
CSE 1301,COMPUTER LITERACY,5,LAB,Undergraduate,Spring,2015,Fr,2:00,PM,4:50,PM,ERB,132,Feraydune Kashefi
CSE 1310,INTRODUCTION TO COMPUTERS & PROGRAMMING,1,LEC,Undergraduate,Spring,2015,TuTh,7:00,PM,8:20,PM,ERB,129,Terrance Moore
CSE 1310,INTRODUCTION TO COMPUTERS & PROGRAMMING,2,LEC,Undergraduate,Spring,2015,MoWe,4:00,PM,5:20,PM,ERB,130,Christopher T Conly
CSE 1310,INTRODUCTION TO COMPUTERS & PROGRAMMING,3,LEC,Undergraduate,Spring,2015,TuTh,2:00,PM,3:20,PM,GACB,103,Dimitrios Zikos
CSE 1310,INTRODUCTION TO COMPUTERS & PROGRAMMING,4,LEC,Undergraduate,Spring,2015,TuTh,9:30,AM,10:50,AM,ERB,129,Vassilis Athitsos
CSE 1311,INTRODUCTORY PROGRAMMING FOR ENGINEERS & SCIENTISTS,1,LEC,Undergraduate,Spring,2015,TuTh,2:00,PM,3:20,PM,NH,110,Ishfaq Ahmad
CSE 1311,INTRODUCTORY PROGRAMMING FOR ENGINEERS & SCIENTISTS,2,LEC,Undergraduate,Spring,2015,TuTh,5:00,PM,6:20,PM,NH,110,Sajib Datta
CSE 1320,INTERMEDIATE PROGRAMMING,1,LEC,Undergraduate,Spring,2015,MoWe,4:00,PM,5:20,PM,ERB,129,Sajib Datta
CSE 1320,INTERMEDIATE PROGRAMMING,2,LEC,Undergraduate,Spring,2015,TuTh,2:00,PM,3:20,PM,ERB,129,Sajib Datta
CSE 1320,INTERMEDIATE PROGRAMMING,3,LEC,Undergraduate,Spring,2015,MoWe,5:30,PM,6:50,PM,ERB,129,Sajib Datta
CSE 1320,INTERMEDIATE PROGRAMMING,4,LEC,Undergraduate,Spring,2015,TuTh,11:00,AM,12:20,PM,COBA,153,Darin Brezeale
CSE 1320,INTERMEDIATE PROGRAMMING,5,LEC,Undergraduate,Spring,2015,TuTh,3:30,PM,4:50,PM,SH,125,Min Gon Kang
CSE 1325,OBJECT-ORIENTED PROGRAMMING,1,LEC,Undergraduate,Spring,2015,TuTh,11:00,AM,12:20,PM,WH,210,Janice Carter M Tiernan
CSE 1325,OBJECT-ORIENTED PROGRAMMING,2,LEC,Undergraduate,Spring,2015,TuTh,2:00,PM,3:20,PM,GACB,105,Eric W Becker
CSE 2312,COMPUTER ORGANIZATION & ASSEMBLY LANGUAGE PROGRAMMING,1,LEC,Undergraduate,Spring,2015,MoWe,3:00,PM,4:20,PM,SH,332,Junzhou Huang
CSE 2312,COMPUTER ORGANIZATION & ASSEMBLY LANGUAGE PROGRAMMING,2,LEC,Undergraduate,Spring,2015,MoWeFr,2:00,PM,2:50,PM,NH,111,Feraydune Kashefi
CSE 2315,DISCRETE STRUCTURES,1,LEC,Undergraduate,Spring,2015,MoWe,4:00,PM,5:20,PM,SH,330,Christopher McMurrough
CSE 2315,DISCRETE STRUCTURES,2,LEC,Undergraduate,Spring,2015,TuTh,3:30,PM,4:50,PM,NH,111,Dimitrios Zikos
CSE 2315,DISCRETE STRUCTURES,3,LEC,Undergraduate,Spring,2015,TuTh,2:00,PM,3:20,PM,NH,111,Christopher McMurrough
CSE 2320,ALGORITHMS & DATA STRUCTURES,1,LEC,Undergraduate,Spring,2015,TuTh,3:30,PM,4:50,PM,NH,110,Bob P Weems
CSE 2320,ALGORITHMS & DATA STRUCTURES,2,LEC,Undergraduate,Spring,2015,MoWe,9:00,AM,10:20,AM,ERB,131,Alexandra Stefan
CSE 2320,ALGORITHMS & DATA STRUCTURES,3,LEC,Undergraduate,Spring,2015,TuTh,3:30,PM,4:50,PM,GS,104,Yuanzhe Cai
CSE 2441,INTRODUCTION TO DIGITAL LOGIC,1,LEC,Undergraduate,Spring,2015,TuTh,11:00,AM,12:20,PM,ERB,130,Bill D Carroll
CSE 2441,INTRODUCTION TO DIGITAL LOGIC,2,LAB,Undergraduate,Spring,2015,Fr,2:00,PM,4:50,PM,ERB,127,Bill D Carroll
CSE 2441,INTRODUCTION TO DIGITAL LOGIC,3,LAB,Undergraduate,Spring,2015,Th,3:30,PM,6:20,PM,ERB,127,Bill D Carroll
CSE 3302,PROGRAMMING LANGUAGES,1,LEC,Undergraduate,Spring,2015,TuTh,9:30,AM,10:50,AM,ERB,131,Bob P Weems
CSE 3310,FUNDAMENTALS OF SOFTWARE ENGINEERING,1,LEC,Undergraduate,Spring,2015,TuTh,12:30,PM,1:50,PM,NH,108,Bahra Khalili Najafabadi
CSE 3310,FUNDAMENTALS OF SOFTWARE ENGINEERING,2,LEC,Undergraduate,Spring,2015,TuTh,7:00,PM,8:20,PM,ERB,130,Joseph Alan Wigner
CSE 3311,OBJECT-ORIENTED SOFTWARE ENGINEERING,1,LEC,Undergraduate,Spring,2015,TuTh,3:30,PM,4:50,PM,GACB,103,David C Kung
CSE 3313,INTRODUCTION TO SIGNAL PROCESSING,1,LEC,Undergraduate,Spring,2015,MoWe,1:00,PM,2:20,PM,ERB,129,Darin Brezeale
CSE 3315,THEORETICAL CONCEPTS IN COMPUTER SCIENCE AND ENGINEERING,1,LEC,Undergraduate,Spring,2015,TuTh,11:00,AM,12:20,PM,NH,109,Linda S Barasch
CSE 3320,OPERATING SYSTEMS,1,LEC,Undergraduate,Spring,2015,MoWe,4:00,PM,5:20,PM,GACB,105,David Levine
CSE 3320,OPERATING SYSTEMS,2,LEC,Undergraduate,Spring,2015,MoWe,7:00,PM,8:20,PM,NH,112,Trevor Jay Bakker
CSE 3330,DATABASE SYSTEMS AND FILE STRUCTURES,1,LEC,Undergraduate,Spring,2015,We,4:00,PM,6:50,PM,GACB,103,Medhat M Saleh
CSE 3330,DATABASE SYSTEMS AND FILE STRUCTURES,3,LEC,Undergraduate,Spring,2015,Sa,1:00,PM,4:00,PM,ERB,129,Ranjan Dash
CSE 3380,LINEAR ALGEBRA FOR,1,LEC,Undergraduate,Spring,2015,MoWe,2:30,PM,3:50,PM,NH,229,Darin Brezeale
CSE 3442,EMBEDDED SYSTEMS I,1,LEC,Undergraduate,Spring,2015,Fr,9:00,AM,11:50,AM,NH,112,Gergely Zaruba
CSE 3442,EMBEDDED SYSTEMS I,2,LAB,Undergraduate,Spring,2015,Fr,1:00,PM,3:50,PM,ERB,126,Gergely Zaruba
